Okt,Nov,Dec,Jan,Feb,March,Apr,May,June,July,Aug,Sep,Okt-Nov,Okt-Dec,Okt-Jan,Okt-Feb,Mejveg,Veg
167.1876265,150.6796696,141.4360783,117.2964,103.999,147.29,502.848,653.432,570.24,557.024,342.784,217.2096,317.8672961,459.3033744,576.5997744,680.5987744,827.8887744,2843.5376
182.6396,138.672,120.7778,117.832,100.1466,122.6524,254.016,798.044,1026.432,583.804,417.768,214.3584,321.3116,442.0894,559.9214,660.068,782.7204,3294.4224
185.3176,146.7072,117.832,111.4048,98.4533,121.3134,250.9056,567.736,1179.36,543.634,326.716,282.528,332.0248,449.8568,561.2616,659.7149,781.0283,3150.8796
219.596,174.4416,109.5302,115.9574,115.6282,219.596,458.784,862.316,629.856,514.176,388.31,243.3888,394.0376,503.5678,619.5252,735.1534,954.7494,3096.8308
183.9786,137.6352,117.832,111.9404,101.7436,124.2592,256.0896,345.462,339.552,264.3186,242.8946,176.7744,321.6138,439.4458,551.3862,653.1298,777.389,1625.0912
167.6428,107.568,80.6078,96.6758,83.9393,93.9978,120.2688,332.072,154.7424,213.1688,278.512,140.4864,275.2108,355.8186,452.4944,536.4337,630.4315,1239.2504
136.0424,65.8368,74.984,89.9808,90.9544,73.9128,104.7168,661.466,510.624,316.004,209.1518,162.5184,201.8792,276.8632,366.844,457.7984,531.7112,1964.481
116.7608,80.352,85.696,122.1168,107.4036,176.748,469.152,575.77,1036.8,808.756,431.158,272.16,197.1128,282.8088,404.9256,512.3292,689.0772,3593.796
224.952,179.8848,150.7714,96.408,96.9822,98.5504,142.56,267.8,741.312,795.366,425.802,229.9104,404.8368,555.6082,652.0162,748.9984,847.5488,2602.7504
239.4132,261.792,149.968,129.3474,105.4684,289.224,1231.2,1507.714,1378.944,1521.104,1272.05,466.56,501.2052,651.1732,780.5206,885.989,1175.213,7377.572
