Okt;Nov;Dec;Jan;Feb;March;Apr;May;June;July;Aug;Sep;Okt-Nov;Okt-Dec;Okt-Jan;Okt-Feb;Mejveg;Veg
245.84;208.84;181.58;168.21;146.58;207.00;520.25;1048.85;1346.70;1043.80;592.78;336.34;454.67;636.25;804.46;951.04;1158;4889
253.64;215.47;187.34;172.46;150.26;212.24;533.42;1075.39;1380.78;1070.21;607.78;344.85;469.10;656.44;828.91;979.16;1191;5012
260.06;220.92;192.08;171.44;149.37;210.99;530.27;1069.05;1372.63;1063.90;604.19;342.81;480.97;673.05;844.50;993.87;1205;4983
258.52;219.61;190.95;154.71;134.79;190.39;478.50;964.67;1238.61;960.02;545.20;309.34;478.13;669.08;823.79;958.57;1149;4496
233.28;198.17;172.30;135.66;118.22;166.94;419.58;845.89;1086.10;841.81;478.07;271.25;431.45;603.76;739.41;857.63;1025;3943
204.56;173.77;151.09;102.77;89.54;126.47;317.86;640.82;822.79;637.73;362.17;205.49;378.33;529.41;632.18;721.72;848;2987
154.96;131.64;114.46;133.10;115.96;163.79;411.66;829.93;1065.61;825.93;469.05;266.14;286.61;401.07;534.16;650.12;814;3868
200.70;170.49;148.24;161.11;140.36;198.26;498.29;1004.58;1289.85;999.74;567.76;322.14;371.19;519.43;680.53;820.89;1019;4682
242.93;206.37;179.43;164.30;143.18;202.20;508.19;1024.53;1315.47;1019.59;579.03;328.54;449.30;628.73;793.04;936.22;1138;4775
247.76;210.47;183.00;301.62;262.78;371.18;932.89;1880.75;2414.84;1871.69;1062.95;603.11;458.22;641.22;942.84;1205.62;1577;8766
454.81;386.36;335.93;193.52;168.60;238.16;598.56;1206.71;1549.39;1200.90;682.00;386.96;841.17;1177.10;1370.62;1539.23;1777;5625
291.81;247.89;215.54;187.94;163.74;231.28;581.28;1171.88;1504.67;1166.24;662.32;375.79;539.71;755.24;943.18;1106.92;1338;5462
283.39;240.74;209.32;198.92;173.35;244.80;615.25;1240.37;1592.61;1234.40;701.02;397.76;524.13;733.45;932.37;1105.71;1351;5781
299.95;254.81;221.55;157.32;137.07;193.61;486.60;981.00;1259.59;976.28;554.44;314.58;554.76;776.31;933.64;1070.70;1264;4572
237.23;201.53;175.22;147.86;128.82;181.96;457.32;921.97;1183.78;917.53;521.07;295.65;438.76;613.98;761.84;890.66;1073;4297
222.95;189.40;164.68;126.36;110.09;155.51;390.84;787.95;1011.71;784.15;445.33;252.67;412.35;577.03;703.39;813.49;969;3673
190.54;161.87;140.74;196.46;171.20;241.77;607.63;1225.01;1572.88;1219.11;692.34;392.83;352.41;493.15;689.61;860.81;1103;5710
296.24;251.65;218.80;186.26;162.28;229.22;576.10;1161.44;1491.26;1155.85;656.41;372.44;547.89;766.70;952.96;1115.24;1344;5414
280.86;238.59;207.45;185.67;161.76;228.49;574.26;1157.73;1486.50;1152.15;654.32;371.25;519.46;726.91;912.58;1074.34;1303;5396
279.97;237.83;206.79;222.55;193.89;273.88;688.34;1387.72;1781.80;1381.04;784.30;445.01;517.80;724.59;947.14;1141.03;1415;6468
335.58;285.08;247.87;224.15;202.74;345.46;679.10;1036.39;1324.51;998.89;551.67;349.92;620.66;868.53;1092.68;1295.42;1641;4940
266.73;238.20;189.60;168.98;151.19;209.96;448.42;1132.79;1423.01;990.86;621.30;373.25;504.93;694.54;863.52;1014.71;1225;4990
252.00;207.36;224.15;174.87;195.70;253.87;655.78;1189.03;2262.82;1804.97;996.22;458.78;459.36;683.51;858.38;1054.08;1308;7368
318.68;236.39;220.13;185.85;159.90;236.20;440.64;1073.88;1482.62;1381.85;790.01;375.84;555.07;775.20;961.06;1120.95;1357;5545
275.83;222.39;196.57;171.12;150.36;163.63;422.50;1060.49;1264.90;779.30;444.55;290.30;498.23;694.79;865.92;1016.28;1180;4262
218.79;185.85;159.07;141.93;127.48;150.24;274.75;760.55;909.79;706.99;396.34;274.75;404.64;563.71;705.65;833.13;983;3323
186.92;153.45;132.29;146.22;140.54;153.72;458.78;998.89;679.10;567.74;415.09;226.28;340.37;472.66;618.88;759.43;913;3346
181.57;132.45;121.05;117.83;109.82;148.90;290.30;1036.39;1054.94;739.13;452.58;257.64;314.02;435.07;552.90;662.72;812;3831
193.35;166.41;138.45;130.95;129.31;157.20;386.21;709.67;1226.02;768.59;471.33;269.57;359.76;498.21;629.16;758.47;916;3831
240.22;209.69;165.50;156.66;146.11;318.68;800.93;1665.72;1612.22;886.42;551.67;316.22;449.91;615.41;772.07;918.18;1237;5833
255.48;227.06;213.44;170.86;134.50;299.94;624.67;1371.14;1643.33;1223.85;610.58;336.96;482.54;695.98;866.83;1001.33;1301;5811
226.56;179.11;138.99;171.12;147.56;169.52;355.10;875.71;1407.46;1162.25;538.28;311.04;405.67;544.65;715.78;863.34;1033;4650
270.48;219.80;205.67;194.69;166.15;244.77;440.64;921.23;943.49;816.79;506.14;292.90;490.28;695.95;890.64;1056.79;1302;3921
218.52;186.88;177.82;166.04;135.95;194.42;544.32;990.86;1381.54;1095.30;605.23;344.74;405.41;583.23;749.26;885.21;1080;4962
259.50;218.51;200.31;182.10;168.60;229.77;953.86;1438.09;1384.13;1023.00;621.30;362.88;478.00;678.32;860.42;1029.03;1259;5783
273.16;253.76;234.06;209.69;169.81;247.18;469.15;846.25;1091.23;913.20;546.31;336.96;526.91;760.97;970.66;1140.47;1388;4203
239.41;269.57;207.81;191.48;164.14;207.81;640.22;1555.92;1692.58;1671.07;800.72;404.35;508.98;716.79;908.27;1072.41;1280;6765
281.19;215.65;197.10;177.28;149.25;204.87;559.87;1550.56;1822.18;1582.70;779.30;417.31;496.84;693.95;871.23;1020.48;1225;6712
299.94;232.76;189.87;178.35;147.08;201.92;295.49;958.72;1194.91;827.50;543.63;308.45;532.70;722.57;900.92;1048.00;1250;4129
227.09;187.66;166.84;145.15;121.92;182.91;399.17;905.16;930.53;980.15;591.84;303.26;414.76;581.59;726.74;848.66;1032;4110
361.53;381.02;261.64;211.29;195.22;242.89;948.67;1467.54;1910.30;1807.65;1031.03;476.93;742.55;1004.19;1215.49;1410.71;1654;7642
313.33;232.76;203.26;177.55;158.69;310.65;484.70;1561.27;1824.77;1247.95;632.01;388.80;546.09;749.35;926.90;1085.59;1396;6140
297.26;255.31;234.59;207.01;172.23;265.39;769.82;1242.59;1410.05;1435.41;974.79;456.19;552.57;787.16;994.17;1166.41;1432;6289
297.26;218.76;186.92;164.43;140.54;199.24;360.29;910.52;1368.58;862.32;637.36;313.63;516.02;702.95;867.38;1007.92;1207;4453
226.02;186.62;172.73;145.95;124.80;178.62;570.24;1194.39;1122.34;1189.03;575.77;344.74;412.65;585.38;731.33;856.13;1035;4997
237.00;182.22;153.99;141.13;112.24;162.02;259.20;482.04;953.86;688.25;444.55;259.20;419.22;573.21;714.34;826.58;989;3087
213.97;181.44;163.63;148.09;132.08;252.80;904.61;1314.90;1980.29;1909.41;867.67;445.82;395.41;559.04;707.13;839.21;1092;7423
294.58;219.54;203.80;175.68;144.90;219.86;1106.78;1510.39;1783.30;1521.10;918.55;528.77;514.12;717.92;893.60;1038.49;1258;7369
348.14;279.94;245.57;213.70;210.75;252.80;546.91;1644.29;2166.91;1829.07;886.42;482.11;628.08;873.65;1087.35;1298.11;1551;7556
326.72;251.68;212.37;179.43;145.14;192.82;370.66;899.81;821.66;666.82;498.11;311.04;578.40;790.76;970.19;1115.33;1308;3568
228.43;183.25;168.45;159.34;137.40;215.85;393.98;720.38;1223.42;1036.39;575.77;342.14;411.69;580.13;739.48;876.87;1093;4292
243.70;226.28;193.89;178.35;169.57;246.11;730.94;1017.64;1625.18;1079.23;602.55;349.92;469.98;663.87;842.22;1011.79;1258;5405
260.84;229.91;210.49;186.92;156.37;275.83;570.24;1146.18;1573.34;1347.03;701.64;381.02;490.75;701.24;888.16;1044.54;1320;5719
