Okt;Nov;Dec;Jan;Feb;March;Apr;May;June;July;Aug;Sep;Mejveg;Veg
245.8360352;208.8375341;181.5779129;168.2061723;146.5830511;207.0017927;520.2544989;1048.853506;1346.704639;1043.80096;592.7828622;336.3398784;1158.042498;4888.736344
253.6384026;215.4656395;187.3408499;172.4620387;150.2554084;212.2392461;533.4177117;1075.39106;1380.77827;1070.210677;607.7811506;344.8497777;1191.401585;5012.428647
260.0558315;220.9172408;192.0808521;171.4443578;149.3687665;210.9868439;530.2700683;1069.045287;1372.630438;1063.895473;604.1946961;342.8148544;1204.853893;4982.850818
258.5212686;219.6136307;190.9474026;154.705262;134.7850373;190.3869884;478.4967606;964.6682655;1238.612657;960.021257;545.2037031;309.3438742;1148.95959;4496.346517
233.2803547;198.1714925;172.3041127;135.6561153;118.2173461;166.9442844;419.5785643;845.8868674;1086.099976;841.8120537;478.0717569;271.2537875;1024.573706;3942.703006
204.5561106;173.770268;151.0879868;102.7684448;89.5357306;126.4712942;317.8584056;640.8150317;822.7922877;637.7280919;362.1708527;205.4926151;848.189835;2986.857285
154.9647306;131.6424265;114.4591041;133.0967871;115.958922;163.7946643;411.6626715;829.9281165;1065.609294;825.9301794;469.0523142;266.1362336;813.9166346;3868.318809
200.6968948;170.4918669;148.2375163;161.1053978;140.361076;198.2632724;498.2921068;1004.576461;1289.853895;999.7372065;567.7587065;322.1413884;1019.156024;4682.359764
242.9311314;206.3698204;179.4323105;164.3048606;143.1832581;202.2006698;508.1879086;1024.526786;1315.46967;1019.591427;579.0340759;328.5389357;1138.422051;4775.348803
247.7556074;210.4682092;182.9957355;301.617964;262.7809035;371.1841154;932.8914663;1880.745841;2414.835946;1871.685896;1062.945298;603.1059856;1576.802535;8766.210434
454.8102934;386.3610153;335.9292049;193.5223455;168.603939;238.1569707;598.5563401;1206.713094;1549.392848;1200.900105;682.0007155;386.9613181;1777.383769;5624.524421
291.8127076;247.894684;215.5369222;187.9365965;163.7374245;231.2829063;581.2798572;1171.883026;1504.671813;1166.23782;662.3157286;375.7922265;1338.201241;5462.180472
283.3899462;240.7395543;209.3157535;198.9205315;173.3490397;244.8002119;615.2526985;1240.373608;1592.612202;1234.39847;701.0247031;397.7553644;1350.515037;5781.417046
299.9526424;254.8095527;221.5491912;157.3248922;137.0673576;193.6108187;486.5991649;981.0030307;1259.586133;976.2773343;554.4356586;314.5820061;1264.314455;4572.483328
237.2305;201.5271381;175.2217449;147.8571111;128.8186709;181.9593576;457.3157226;921.9664608;1183.784487;917.5251559;521.0698294;295.6505227;1072.614523;4297.312178
222.954015;189.3992745;164.6769347;126.3641193;110.0931688;155.5091521;390.838818;787.9464098;1011.705714;784.1507074;445.3254199;252.6737987;968.9966644;3672.640868
190.5446924;161.8675784;140.7389585;196.4564567;171.2017249;241.7678149;607.6314206;1225.008813;1572.884145;1219.107689;692.3409475;392.8282764;1102.577226;5709.801292
296.2370594;251.6531677;218.8048099;186.2620342;162.2784829;229.2221175;576.1005076;1161.441253;1491.264809;1155.846348;656.414329;372.4438233;1344.457672;5413.511071
280.8648705;238.5945044;207.4506976;185.6670341;161.7600965;228.4898847;574.2601979;1157.731117;1486.501076;1152.154084;654.3174629;371.2540795;1302.827088;5396.218017
279.9676689;237.8323322;206.7880119;222.5507924;193.8946126;273.8806333;688.3400851;1387.720651;1781.802536;1381.03571;784.3011577;445.0057058;1414.914051;6468.205846
335.5847571;285.0790084;247.8675664;224.1486;202.7354;345.462;679.104;1036.386;1324.512;998.894;551.668;349.92;1640.877332;4940.484
266.7288;238.2048;189.6024;168.9818;151.1875;209.9552;448.416;1132.794;1423.008;990.86;621.296;373.248;1224.6605;4989.622
251.9998;207.36;224.1486;174.8734;195.6971;253.8744;655.776;1189.032;2262.816;1804.972;996.216;458.784;1307.9533;7367.596
318.682;236.3904;220.1316;185.8532;159.8959;236.1996;440.64;1073.878;1482.624;1381.848;790.01;375.84;1357.1527;5544.84
275.834;222.3936;196.5652;171.1242;150.36;163.6258;422.496;1060.488;1264.896;779.298;444.548;290.304;1179.9028;4262.03
218.7926;185.8464;159.0732;141.934;127.4813;150.2358;274.752;760.552;909.792;706.992;396.344;274.752;983.3633;3323.184
186.9244;153.4464;132.2932;146.2188;140.5439;153.7172;458.784;998.894;679.104;567.736;415.09;226.2816;913.1439;3345.8896
181.5684;132.4512;121.0456;117.832;109.8226;148.8968;290.304;1036.386;1054.944;739.128;452.582;257.6448;811.6166;3830.9888
193.3516;166.4064;138.4526;130.9542;129.3096;157.1986;386.208;709.67;1226.016;768.586;471.328;269.568;915.673;3831.376
240.2166;209.6928;165.5004;156.663;146.1076;318.682;800.928;1665.716;1612.224;886.418;551.668;316.224;1236.8624;5833.178
255.4812;227.0592;213.4366;170.8564;134.4964;299.936;624.672;1371.136;1643.328;1223.846;610.584;336.96;1301.2658;5810.526
