Okt;Nov;Dec;Jan;Feb;March;Apr;May;June;July;Aug;Sep;Okt-Nov;Okt-Dec;Okt-Jan;Okt-Feb;Mejveg;Veg
947.7277067;671.171463;580.9882481;508.7784155;432.0329994;551.6101618;1172.030073;2167.153809;3414.539407;4482.802385;3802.511224;1842.922763;1618.89917;2199.887418;2708.665833;3140.698833;3692.308995;16881.95966
957.4143399;678.0314416;586.9264728;484.3117568;411.3566148;525.0837662;1115.668288;2062.937493;3250.337531;4267.228783;3619.652161;1754.298402;1635.445782;2222.372254;2706.684011;3118.040626;3643.124392;16070.12266
911.3732164;645.4255697;558.7017502;462.6958089;392.9016091;501.6480697;1065.873446;1970.863846;3105.267489;4076.772545;3458.098758;1676.000028;1556.798786;2115.500536;2578.196345;2971.097954;3472.746024;15352.87611
870.6965331;616.6187417;533.7656057;474.1107582;402.5946987;514.0239918;1092.169105;2019.486095;3181.876073;4177.348671;3543.411876;1717.347831;1487.315275;2021.080881;2495.191639;2897.786337;3411.810329;15731.63965
892.1770751;631.8310508;546.9338843;481.0745552;408.5080591;521.5740392;1108.211019;2049.148555;3228.61186;4238.706081;3595.457944;1742.572447;1524.008126;2070.94201;2552.016565;2960.524624;3482.098664;15962.70791
905.2814814;641.1114628;554.9673163;458.5769723;389.4984341;497.1824869;1056.385228;1953.319563;3077.624944;4040.481833;3427.315371;1661.080571;1546.392944;2101.36026;2559.937233;2949.435667;3446.618154;15216.20751
862.9457457;611.1297102;529.0141182;502.2510475;426.490236;544.5332844;1156.993524;2139.35033;3370.732605;4425.290313;3753.726941;1819.279003;1474.075456;2003.089574;2505.340622;2931.830858;3476.364142;16665.37272
945.1312015;669.3326435;579.396505;509.805404;432.9050743;552.7236078;1174.39586;2171.528291;3421.431783;4491.851091;3810.186737;1846.642772;1614.463845;2193.86035;2703.665754;3136.570828;3689.294436;16916.03654
959.3469169;679.4000737;588.1112061;517.3597604;439.3199126;560.9139313;1191.798196;2203.706253;3472.130962;4558.411869;3866.646532;1874.006542;1638.746991;2226.858197;2744.217957;3183.53787;3744.451801;17166.70036
973.5626324;689.467504;596.8259071;504.3850704;428.4061499;546.846961;1161.909493;2148.440251;3385.054567;4444.093004;3769.676215;1827.008968;1663.030136;2259.856044;2764.241114;3192.647264;3739.494225;16736.1825
949.1469853;672.1765822;581.8583126;494.9016676;420.249455;536.5651935;1140.063375;2108.04547;3321.409075;4360.535566;3698.799101;1792.657709;1621.323567;2203.18188;2698.083548;3118.333003;3654.898196;16421.5103
931.3012089;659.5383785;570.9182648;463.6988551;393.7533532;502.7355577;1068.184079;1975.136345;3111.999183;4085.610297;3465.59533;1679.633312;1590.839587;2161.757852;2625.456707;3019.21006;3521.945618;15386.15855
872.5840556;617.9554666;534.9227191;427.6083675;363.1068456;463.6067758;985.045456;1821.408052;2869.78688;3767.620149;3195.862024;1548.904533;1490.539522;2025.462241;2453.070609;2816.177455;3279.78423;14188.62709
804.6693225;569.858919;493.2887545;481.0140604;408.5556726;521.5084517;1108.071662;2048.890876;3228.205864;4238.173067;3595.005818;1742.35332;1374.528242;1867.816996;2348.831056;2757.386729;3278.895181;15960.70061
905.167643;641.0308435;554.8975296;444.5700549;377.5099894;481.9963906;1024.118669;1893.656764;2983.621013;3917.068102;3322.630387;1610.34401;1546.198486;2101.096016;2545.666071;2923.17606;3405.172451;14751.43895
836.587663;592.4631746;512.8557468;453.8342092;385.3767154;492.0404521;1045.459723;1933.117651;3045.795074;3998.693761;3391.86888;1643.901096;1429.050838;1941.906584;2395.740794;2781.117509;3273.157961;15058.83618
854.0208598;604.8091935;523.5428696;532.297347;452.0042761;577.1090455;1226.208659;2267.33326;3572.380848;4690.025646;3978.287158;1928.11422;1458.830053;1982.372923;2514.67027;2966.674546;3543.783592;17662.34979
1001.67204;709.3743103;614.057898;410.8368213;348.9497036;445.4233092;946.4102545;1749.96925;2757.228831;3619.847513;3070.51474;1488.153795;1711.04635;2325.104248;2735.941069;3084.890773;3530.314082;13632.12438
773.1087877;547.5080579;473.9411088;447.8282423;380.2767037;485.5288701;1031.624282;1907.535091;3005.487525;3945.775708;3346.981448;1622.145981;1320.616846;1794.557954;2242.386197;2622.6629;3108.191771;14859.55004
842.7188889;596.8052486;516.6143899;657.8899724;558.6521939;713.2747442;1515.525834;2802.298047;4415.264421;5796.611349;4916.942087;2383.042144;1439.524138;1956.138527;2614.0285;3172.680694;3885.955438;21829.68388
1238.011037;876.7472692;758.9414748;501.702813;426.0246985;543.9388964;1155.730602;2137.015111;3367.053265;4420.459866;3749.629543;1817.29316;2114.758306;2873.699781;3375.402594;3801.427292;4345.366189;16647.18155
944.0995389;668.6020302;578.764062;462.1317507;392.5177324;501.036526;1064.574072;1968.461227;3101.481953;4071.802677;3453.883096;1673.956868;1612.701569;2191.465631;2653.597382;3046.115114;3547.15164;15334.15989
869.6350938;615.8670408;533.1149085;479.8383598;407.4583344;520.2337741;1105.363299;2043.882951;3220.315442;4227.81407;3586.218859;1738.094638;1485.502135;2018.617043;2498.455403;2905.913737;3426.147511;15921.68926
