ind;Okt;Nov;Dec;Jan;Feb;March;Apr;May;June;July;Aug;Sep;Okt-Nov;Okt-Dec;Okt-Jan;Okt-Feb;Mejveg;Veg
0;578;446;391;380;373;434;1065;1524;1949;2129;1376;689;1024;1415;1796;2169;2603;8733
1;511;399;364;367;329;345;389;1781;2929;2030;1352;700;911;1275;1642;1971;2316;9181
2;520;407;351;329;298;372;583;1210;3447;1792;1227;905;926;1277;1607;1904;2276;9164
3;503;404;356;340;310;404;578;1631;1770;1746;1443;718;908;1264;1604;1914;2318;7887
4;530;404;356;345;308;367;524;1026;1604;1334;1572;721;935;1291;1636;1944;2311;6780
5;439;321;311;246;273;348;246;1044;503;916;1443;578;761;1071;1318;1591;1939;4731
6;383;293;249;212;227;345;295;1850;1822;1205;1157;594;676;925;1136;1364;1709;6924
7;418;303;260;311;283;364;627;1569;2271;1896;1524;762;721;981;1291;1574;1939;8649
8;469;329;284;246;248;353;314;892;2271;2611;1540;798;798;1082;1328;1576;1930;8425
9;616;578;450;453;380;560;1794;2536;3992;4579;3240;1397;1194;1644;2096;2476;3036;17538
10;723;534;533;528;421;466;578;1417;2501;2488;1995;1128;1257;1790;2318;2738;3204;10106
11;619;451;412;396;346;407;607;1430;2955;2185;1880;951;1070;1482;1878;2224;2631;10008
12;576;459;412;386;356;428;772;1205;2981;3053;1808;907;1035;1447;1833;2188;2617;10726
13;595;461;437;412;322;431;516;1510;2151;1634;969;622;1056;1492;1905;2227;2658;7403
14;474;368;335;343;290;362;238;876;1752;1947;1379;881;842;1177;1520;1810;2171;7074
15;520;399;367;327;298;343;505;1098;1008;1221;1015;529;919;1286;1612;1910;2253;5377
16;439;358;335;321;276;364;607;2006;2644;2282;1414;791;797;1132;1453;1729;2093;9742
17;592;477;412;332;285;528;1001;1291;1944;2220;1371;695;1069;1481;1813;2099;2626;8521
18;514;404;359;345;317;412;472;1403;2929;2413;1232;617;919;1277;1623;1940;2352;9066
19;466;389;332;343;278;399;508;1119;3396;3294;2006;967;855;1187;1530;1808;2207;11290
20;683;474;404;375;338;479;575;1186;1866;1834;1044;653;1157;1562;1937;2275;2754;7160
21;509;391;297;262;278;386;480;1403;1711;1368;1229;664;900;1197;1460;1738;2124;6855
22;453;340;319;201;254;337;547;1312;3732;2440;1612;905;792;1111;1312;1566;1903;10548
23;637;487;434;375;360;447;518;1695;2247;2153;1551;757;1125;1558;1933;2294;2741;8921
24;530;438;343;295;326;367;700;1925;2346;1593;1103;741;968;1311;1606;1931;2298;8409
25;541;417;340;356;331;370;347;1411;2141;1976;1200;741;958;1298;1655;1986;2356;7817
26;525;402;375;362;317;356;552;1342;972;1371;977;565;927;1302;1663;1980;2336;5779
27;479;381;340;329;300;359;329;1644;1213;1427;1090;591;860;1200;1530;1830;2189;6295
28;437;347;308;287;296;319;345;929;2320;1572;1063;524;784;1092;1378;1674;1993;6753
29;511;404;343;327;281;386;710;2220;2587;1540;1259;666;916;1259;1585;1866;2252;8982
30;503;435;367;343;319;396;638;2274;2981;2241;1534;801;939;1306;1649;1968;2364;10469
31;525;441;375;375;331;367;454;1347;1988;2030;1283;731;966;1340;1715;2047;2414;7832
32;495;404;351;329;301;431;391;1007;1516;1984;1331;677;900;1251;1580;1881;2312;6907
33;479;394;351;345;290;356;651;1360;2418;2006;1248;661;873;1224;1570;1860;2216;8344
34;493;412;364;370;314;362;806;1403;1711;2132;1347;638;905;1269;1639;1953;2315;8036
35;479;503;463;428;377;434;422;959;1296;1398;1074;607;982;1446;1874;2251;2685;5756
36;458;384;321;289;283;356;467;1205;1910;2432;1497;804;842;1163;1452;1735;2091;8314
37;536;417;359;313;300;375;547;1398;2278;2349;1548;858;953;1312;1625;1925;2300;8978
38;597;443;362;455;360;431;467;2113;1835;1966;1642;726;1040;1402;1857;2218;2649;8748
39;511;456;364;367;322;362;531;2000;1755;1722;1261;617;968;1332;1699;2021;2382;7887
40;640;550;420;380;351;391;928;1821;3530;3554;2276;1120;1190;1610;1990;2341;2732;13229
41;819;674;530;549;486;495;640;2458;3219;2533;1543;938;1493;2024;2573;3059;3554;11332
42;683;562;493;479;416;461;772;1312;2519;2989;2707;1322;1245;1738;2217;2634;3094;11622
43;868;632;474;511;457;517;679;2003;2989;1500;1561;759;1500;1974;2486;2943;3460;9491
44;533;485;434;410;391;394;619;1888;2170;3101;1575;881;1018;1451;1861;2252;2646;10234
45;605;516;415;412;360;404;456;830;2068;1470;1441;708;1121;1536;1949;2309;2713;6973
46;501;456;388;388;327;367;734;1232;2960;3235;1494;866;957;1345;1734;2060;2427;10521
47;648;503;412;367;310;313;1042;1845;3178;3088;1899;1322;1151;1563;1930;2240;2553;12373
48;661;550;445;375;419;415;692;1615;3297;3361;1674;928;1211;1656;2030;2449;2864;11566
49;621;524;396;404;317;383;669;1604;1301;1492;1237;853;1145;1541;1946;2262;2645;7156
50;482;425;388;367;324;353;464;1031;1993;1741;1390;734;907;1295;1662;1986;2340;7352
51;490;425;353;340;281;359;1008;1928;2504;1923;1320;874;915;1269;1609;1889;2248;9557
52;589;492;420;308;301;418;588;1277;2986;3141;2284;1081;1082;1502;1810;2111;2529;11358
53;723;555;461;447;370;434;619;1419;1314;1652;1334;671;1278;1738;2186;2556;2990;7010
54;565;500;362;399;343;415;982;1968;4292;2528;1971;1063;1065;1427;1826;2169;2584;12805
55;696;529;447;394;334;407;923;1366;2286;1767;1376;710;1225;1672;2066;2400;2807;8429
56;573;448;375;362;331;426;762;1813;2724;2491;1634;695;1022;1396;1758;2089;2515;10118
57;549;435;362;367;363;530;1011;2370;3937;4089;2325;1327;984;1346;1713;2076;2606;15059
58;948;702;584;511;469;498;949;2035;2867;2616;1875;1135;1650;2234;2746;3215;3713;11477
59;686;632;552;447;428;549;886;1671;3263;2054;1422;754;1318;1870;2317;2745;3294;10051
60;562;505;463;423;388;431;511;1360;1962;1845;1476;816;1068;1531;1954;2343;2774;7970
61;619;518;466;466;404;482;861;1934;3367;2740;1588;853;1137;1603;2069;2473;2955;11341
62;597;505;428;402;375;434;573;1002;1335;1358;967;643;1103;1531;1933;2308;2742;5877
63;560;456;375;428;370;383;785;884;1667;1296;1186;591;1016;1391;1819;2189;2572;6409
64;469;407;372;353;318;370;529;1604;1579;1532;1018;640;876;1248;1601;1920;2289;6901
